"","Player.Code","Team.Code","Last.Name","First.Name","Class","Position","Rush.Att","Rush.Yard","Rush.TD","Pass.Att","Pass.Yard","Pass.TD","Pass.Int","Pass.Comp","Rec.Yards","Rec.TD","Rec"
"1434",1001723,365,"Murphy","Richard","SR","RB",25,85,0,0,0,0,0,0,44,0,10
"1439",1016789,365,"Peterson","Deangelo","JR","TE",1,23,0,0,0,0,0,0,198,0,16
"1440",1024460,365,"Randle","Rueben","SO","WR",0,0,0,0,0,0,0,0,544,3,33
"1441",1009548,365,"Ridley","Stevan","JR","RB",249,1147,15,0,0,0,0,0,61,0,11
"1443",1024454,365,"Shepard","Russell","SO","WR",32,226,2,0,0,0,0,0,254,1,33
"1445",1009564,365,"Toliver","Terrence","SR","WR",0,0,0,0,0,0,0,0,579,5,41
"1446",1016790,365,"Tolliver","Chris","SO","WR",0,0,0,0,0,0,0,0,35,0,2
"1448",1032395,365,"Ware","Spencer","FR","RB",24,175,1,1,39,1,0,1,101,0,10
"1452",1032418,365,"Wright","James","FR","WR",0,0,0,0,0,0,0,0,21,0,2
"1454",1016822,366,"Cameron","Colby","SO","QB",25,45,0,91,461,1,5,54,0,0,0
"1455",1016821,366,"Casey","Richie","SO","WR",0,0,0,3,43,1,0,1,432,3,42
"1457",1001770,366,"Compton","Myke","SR","RB",48,177,2,0,0,0,0,0,71,0,12
"1458",1011205,366,"Creer","Lennon","JR","RB",212,1181,10,0,0,0,0,0,181,0,25
"1460",1000233,366,"Ensminger","Steven","SR","QB",1,7,0,0,0,0,0,0,0,0,0
"1461",1009586,366,"Falls","Roosevelt","SR","RB",1,3,0,0,0,0,0,0,0,0,0
"1462",1024512,366,"Fitte","Lyle","SO","RB",12,57,1,0,0,0,0,0,219,0,25
"1463",1032461,366,"Fortson","Carey","FR","WR",0,0,0,0,0,0,0,0,64,0,4
"1464",1032445,366,"Gru","David","SO","WR",0,0,0,0,0,0,0,0,108,0,9
"1465",1024515,366,"Guillot","Andrew","SO","WR",1,-2,0,0,0,0,0,0,83,1,13
"1466",1032444,366,"Hakmi","Tarik","SO","QB",23,41,1,54,355,2,4,32,0,0,0
"1467",1016857,366,"Harper","Eric","JR","WR",0,0,0,0,0,0,0,0,110,2,7
"1468",1032447,366,"Holley","Ray","JR","RB",49,206,2,1,0,0,0,0,98,0,11
"1469",1032437,366,"Ikharo","Taulib","JR","WR",0,0,0,0,0,0,0,0,530,4,50
"1471",1024540,366,"Jackson","Jacarri","FR","WR",0,0,0,0,0,0,0,0,113,0,10
"1472",1001766,366,"Jenkins","Ross","SR","QB",55,108,4,273,1762,12,6,171,43,0,1
"1475",1009594,366,"Livas","Phillip","SR","WR",19,153,2,0,0,0,0,0,266,2,22
"1477",1016801,366,"Molton","Tim","SO","WR",9,93,0,1,0,0,0,0,83,2,10
"1479",1011222,366,"Paige","Ahmad","JR","WR",0,0,0,0,0,0,0,0,217,2,16
"1481",1032450,366,"Scurria","Stuart","FR","WR",0,0,0,0,0,0,0,0,0,0,0
"1484",1016852,366,"Spence","Chandler","SO","WR",0,0,0,0,0,0,0,0,0,0,0
"1489",1009617,367,"Anderson","Victor","JR","RB",64,286,0,0,0,0,0,0,61,0,11
"1491",1009622,367,"Beaumont","Doug","SR","WR",0,0,0,1,27,0,0,1,440,1,41
"1492",1032468,367,"Bellamy","Josh","JR","WR",1,12,0,0,0,0,0,0,401,5,29
"1493",1032469,367,"Brown","Dominique","FR","QB",20,59,0,1,0,0,1,0,32,0,3
"1494",1002550,367,"Burke","Justin","SR","QB",21,8,0,129,790,10,3,75,0,0,0
"1497",1009645,367,"Chichester","Josh","JR","TE",0,0,0,0,0,0,0,0,317,5,22
"1498",1024575,367,"Copeland","Damian","FR","WR",0,0,0,0,0,0,0,0,113,0,8
"1499",1032476,367,"Curtley","Malik","SO","RB",0,0,0,0,0,0,0,0,0,0,0
"1501",1032498,367,"Dominguez","Kai","FR","WR",0,0,0,0,0,0,0,0,4,0,1
"1502",1009629,367,"Donnell","Blayne","SR","RB",25,104,0,0,0,0,0,0,41,0,8
"1503",1024551,367,"Evans","Zed","FR","RB",3,1,0,0,0,0,0,0,0,0,0
"1504",1024580,367,"Froman","Adam","SR","QB",36,75,2,218,1633,11,4,132,27,0,1
"1506",1016890,367,"Graham","Cameron","SR","TE",0,0,0,0,0,0,0,0,470,5,40
"1508",1032480,367,"Hogan","Kamal","FR","RB",0,0,0,0,0,0,0,0,0,0,0
"1513",1001809,367,"Nochta","Pete","SR","TE",0,0,0,0,0,0,0,0,17,0,1
"1514",1016891,367,"Nord","Nate","SO","TE",0,0,0,0,0,0,0,0,36,0,4
"1515",1001826,367,"Pascley","Troy","SR","WR",1,-10,0,0,0,0,0,0,10,0,1
"1516",1032482,367,"Perry","Senorise","FR","WR",0,0,0,0,0,0,0,0,0,0,0
"1517",1009624,367,"Powell","Bilal","SR","RB",229,1405,11,0,0,0,0,0,158,3,18
"1518",1024579,367,"Radcliff","Scott","SO","WR",0,0,0,0,0,0,0,0,6,0,1
"1520",1024548,367,"Smith","Andrell","SO","WR",0,0,0,0,0,0,0,0,377,3,25
"1521",1016875,367,"Stein","Will","SO","QB",2,22,0,14,72,1,0,9,0,0,0
"1524",1024553,367,"Wright","Jeremy","FR","RB",59,327,4,0,0,0,0,0,12,0,3
"1525",1001829,388,"Anderson","Brian","SR","QB",47,90,0,384,2358,20,15,218,0,0,0
"1527",1024601,388,"Booker","Andre","SO","RB",67,264,1,0,0,0,0,0,236,1,17
"1529",1024591,388,"Crawford","C.J.","FR","TE",0,0,0,0,0,0,0,0,39,1,2
"1530",1024597,388,"Dobson","Aaron","SO","WR",2,18,0,0,0,0,0,0,689,5,44
"1531",1001862,388,"Edmonson","Courtney","SR","WR",1,4,0,0,0,0,0,0,298,2,25
"1532",1032537,388,"Evans","Demetrius","FR","WR",0,0,0,0,0,0,0,0,51,0,6
"1533",1024602,388,"Evans","Troy","JR","WR",11,38,2,0,0,0,0,0,225,3,21
"1535",1024586,388,"Graham","A.J.","FR","QB",6,9,1,12,95,0,0,10,0,0,0
"1536",1016921,388,"Hatten","Jamie","SO","TE",0,0,0,0,0,0,0,0,8,0,1
"1539",1032511,388,"Kelson","Jermaine","FR","WR",1,1,0,1,18,1,0,1,0,0,1
"1541",1032512,388,"Martinez","Tron","FR","RB",77,262,1,0,0,0,0,0,74,1,8
"1543",1009651,388,"Smith","Lee","SR","TE",0,0,0,0,0,0,0,0,358,3,38
"1544",1032535,388,"Sullivan","Eddie","FR","QB",12,51,0,24,134,1,0,6,0,0,0
"1545",1024594,388,"Taliaferro","Essray","FR","RB",20,98,1,0,0,0,0,0,10,0,4
"1549",1016920,388,"Walker","Chuck","SR","WR",1,2,0,0,0,0,0,0,219,1,26
"1550",1016903,388,"Ward","Martin","SO","RB",96,345,1,0,0,0,0,0,56,0,13
"1551",1016923,388,"Wilson","Antavious","SO","WR",0,0,0,0,0,0,0,0,342,5,29
"1552",1024629,392,"Adams","D.J.","FR","RB",67,239,11,0,0,0,0,0,0,0,0
"1553",1016938,392,"Berman","Louis","JR","RB",0,0,0,0,0,0,0,0,0,0,0
"1554",1016949,392,"Boykins","Kerry","SO","WR",0,0,0,0,0,0,0,0,124,1,10
"1555",1024623,392,"Brown","C.J.","FR","QB",1,12,0,1,0,0,0,0,0,0,0
"1556",1009707,392,"Brown","Haroon","JR","RB",1,4,0,0,0,0,0,0,11,1,2
"1558",1016950,392,"Campbell","Devonte","SO","TE",0,0,0,0,0,0,0,0,14,0,1
"1559",1001896,392,"Cannon","Adrian","SR","WR",1,5,0,0,0,0,0,0,324,1,36
"1560",1016931,392,"Dorsey","Kevin","SO","WR",1,4,0,0,0,0,0,0,187,2,15
"1561",1016939,392,"Douglas","Gary","SO","RB",2,8,0,0,0,0,0,0,0,0,0
"1564",1016951,392,"Furstenburg","Matt","SO","TE",0,0,0,0,0,0,0,0,206,1,12
"1566",1001894,392,"Lee-Odai","Emani","SR","WR",0,0,0,0,0,0,0,0,0,0,0
"1567",1009722,392,"Logan","Tony","JR","WR",2,0,0,1,0,0,0,0,7,0,1
"1568",1009724,392,"McCree","Quintin","JR","WR",1,3,0,0,0,0,0,0,188,1,16
"1570",1016937,392,"Meggett","Davin","JR","RB",126,720,4,0,0,0,0,0,59,0,6
"1571",1032553,392,"Moore","Rahsaan","FR","RB",2,1,0,0,0,0,0,0,0,0,0
"1572",1024625,392,"O'Brien","Danny","FR","QB",31,-48,1,337,2438,22,8,192,4,1,1
"1574",1009690,392,"Robinson","Jamarr","JR","QB",37,97,0,49,349,4,2,26,0,0,0
"1575",1024659,392,"Schlothauer","Ryan","SO","TE",0,0,0,0,0,0,0,0,0,0,0
"1576",1001873,392,"Scott","Da'Rel","SR","RB",122,708,5,1,4,1,0,1,170,3,14
"1577",1009721,392,"Smith","Torrey","JR","WR",9,7,0,0,0,0,0,0,1055,12,67
"1579",1024655,392,"Stinebaugh","Dave","FR","TE",0,0,0,0,0,0,0,0,42,0,4
"1580",1009696,392,"Tyler","Ronnie","JR","WR",5,1,0,0,0,0,0,0,149,1,13
"1582",1009701,392,"Watson","Taylor","JR","RB",7,44,0,0,0,0,0,0,16,0,2
"1583",1001870,392,"Williams","LaQuan","SR","WR",0,0,0,0,0,0,0,0,101,2,6
"1584",1002775,392,"Yeatman","Will","SR","TE",0,0,0,0,0,0,0,0,134,1,13
"1585",1024663,404,"Adams","Dejarrius","JR","WR",0,0,0,0,0,0,0,0,5,0,1
"1587",1009728,404,"Baker","Cam","JR","WR",0,0,0,0,0,0,0,0,13,0,1
"1588",1016958,404,"Bass","Tyler","SO","QB",1,2,0,2,0,0,0,0,0,0,0
"1593",1024677,404,"Foster","Billy","JR","WR",9,41,0,0,0,0,0,0,175,0,14
"1596",1032590,404,"Henderson","Justin","FR","TE",0,0,0,0,0,0,0,0,8,0,2
"1598",1024666,404,"Hightower","Marcus","SO","RB",8,26,0,0,0,0,0,0,1,0,1
"1599",1024685,404,"Johnson","Brooks","FR","TE",0,0,0,0,0,0,0,0,61,0,6
"1600",1016977,404,"Johnson","Curtis","SO","WR",0,0,0,0,0,0,0,0,230,0,22
"1603",1009793,404,"McKenzie","Jermaine","JR","WR",0,0,0,0,0,0,0,0,409,3,25
"1604",1001918,404,"Onarheim","Deven","SR","TE",0,0,0,0,0,0,0,0,135,1,16
"1605",1024665,404,"Powell","Randy","FR","RB",2,7,0,0,0,0,0,0,0,0,0
"1606",1016957,404,"Ray","Gregory","SR","RB",157,676,3,0,0,0,0,0,173,1,17
